location_wardName,primary_contact,primary_phone,primary_email,ward_emergency_phone,ward_emergency_email
Kadugodi,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Garudachar Playa,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Hudi,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Hagadur,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Bellanduru,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Marathahalli,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Dodda Nekkundi,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Varthuru,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Other,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Devasandra,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
HAL Airport,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Vijnana Nagar,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Basavanapura,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Konena Agrahara,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Domlur,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Agaram,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Shantala Nagar,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Sampangiram Nagar,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Sudham Nagara,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Dharmaraya Swamy Temple,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Chickpete,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
A Narayanapura,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
C V Raman Nagar,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
New Tippasandara,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Hoysala Nagar,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Halsoor,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Jeevanbhima Nagar,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Jogupalya,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
HSR Layout,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Benniganahalli,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Singasandra,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Bharathi Nagar,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Banasavadi,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Horamavu,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Kacharkanahalli,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Kammanahalli,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Vijnanapura,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Ramamurthy Nagar,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
K R Puram,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
BTM Layout,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Madivala,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Gurappanapalya,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
J P Nagar,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Sarakki,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Jaraganahalli,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Vasanthpura,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Hemmigepura,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Yelchenahalli,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
Jayanagar East,Ramesh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
other,Suresh,7376344342,movehack.gov.in@gmail.com,9876543321,movehack.gov.in@gmail.com
